"Label","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","506","14.8%","8.7%","13.6%","6.9%","13.4%","18.2%","3.2%","7.5%","7.7%","5.9%","38,952","65,599","","(X)","(X)","32.6%"
"Census Tract 19.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","842","4.0%","0.7%","8.0%","2.5%","13.5%","17.6%","14.8%","17.1%","6.5%","15.2%","84,615","107,263","","45.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","543","2.2%","0.0%","11.4%","0.9%","11.6%","10.5%","16.6%","16.9%","11.2%","18.6%","94,205","117,147","","(X)","49.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","289","0.0%","0.0%","11.4%","0.0%","9.0%","10.7%","8.0%","20.8%","19.4%","20.8%","131,042","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","299","7.4%","2.0%","1.7%","7.0%","18.1%","27.8%","13.4%","15.7%","2.3%","4.7%","66,458","77,345","","(X)","(X)","27.1%"
"Census Tract 20.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,061","6.4%","2.4%","8.7%","7.8%","13.5%","18.0%","8.2%","15.6%","5.8%","13.6%","63,424","103,588","","40.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","633","0.0%","1.3%","5.7%","14.2%","13.1%","11.8%","9.3%","14.5%","9.5%","20.5%","84,375","125,901","","(X)","45.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","378","0.0%","2.1%","1.3%","0.3%","12.4%","15.6%","6.3%","21.7%","11.1%","29.1%","138,696","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","428","15.9%","4.0%","16.8%","9.1%","8.6%","18.0%","6.5%","17.3%","1.6%","2.1%","38,750","60,736","","(X)","(X)","27.3%"
"Census Tract 20.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,297","2.3%","5.9%","7.9%","6.9%","2.3%","12.2%","14.0%","14.8%","7.7%","26.0%","95,469","144,574","","43.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","826","0.7%","2.3%","7.9%","10.2%","2.5%","9.6%","13.7%","16.3%","10.9%","25.9%","107,833","157,881","","(X)","39.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","481","1.2%","0.0%","1.5%","8.7%","2.7%","9.4%","9.1%","11.9%","12.9%","42.6%","174,306","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","471","6.4%","12.1%","8.1%","8.1%","1.9%","18.7%","22.1%","5.3%","2.1%","15.3%","63,906","94,358","","(X)","(X)","40.8%"
"Census Tract 21.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,864","7.9%","2.8%","3.4%","10.4%","13.0%","18.5%","12.4%","14.4%","4.9%","12.2%","62,139","87,187","","49.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","932","9.1%","5.7%","4.5%","5.2%","7.2%","18.3%","22.5%","8.7%","6.4%","12.3%","73,750","86,336","","(X)","44.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","408","0.0%","0.0%","0.0%","4.4%","7.8%","20.3%","24.0%","16.7%","3.2%","23.5%","98,176","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","932","10.6%","0.0%","4.3%","9.8%","18.8%","18.7%","4.0%","20.2%","1.6%","12.1%","58,472","85,045","","(X)","(X)","49.1%"
"Census Tract 21.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,968","12.7%","3.4%","5.6%","7.1%","5.3%","13.6%","9.6%","16.9%","15.5%","10.4%","83,167","100,323","","32.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,083","10.3%","1.7%","4.6%","4.1%","3.9%","11.6%","8.4%","17.4%","25.0%","13.0%","109,970","116,477","","(X)","36.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","626","1.4%","0.0%","3.8%","3.8%","5.3%","6.4%","7.2%","11.7%","39.5%","20.9%","170,625","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","885","16.0%","5.5%","6.8%","10.7%","8.0%","15.0%","11.3%","16.3%","4.0%","6.3%","53,347","75,892","","(X)","(X)","24.0%"
"Census Tract 22.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,096","2.1%","6.5%","9.8%","7.5%","4.2%","25.8%","5.9%","10.9%","10.4%","17.0%","69,643","116,276","","50.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","681","1.3%","1.5%","3.2%","10.4%","2.6%","18.8%","7.0%","18.1%","16.3%","20.7%","120,282","145,985","","(X)","47.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","476","0.0%","0.0%","0.0%","8.6%","1.9%","18.9%","2.5%","21.2%","19.5%","27.3%","138,958","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","415","5.5%","17.1%","20.5%","2.7%","4.3%","35.2%","5.8%","0.0%","4.6%","4.3%","-","56,711","","(X)","(X)","53.0%"
"Census Tract 22.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,226","6.3%","3.1%","0.6%","10.8%","20.3%","15.8%","11.3%","12.8%","9.1%","9.9%","63,750","90,219","","39.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","736","1.6%","3.8%","1.0%","6.1%","19.3%","14.7%","10.7%","18.3%","14.8%","9.6%","84,773","105,577","","(X)","42.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","384","0.0%","0.0%","0.0%","5.5%","7.6%","16.1%","15.9%","25.8%","12.5%","16.7%","115,833","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","490","13.3%","2.0%","0.0%","18.0%","21.8%","17.6%","12.2%","6.7%","0.4%","8.0%","42,041","65,294","","(X)","(X)","34.3%"
"Census Tract 23.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,175","0.9%","5.5%","2.5%","4.4%","6.9%","9.4%","8.9%","18.8%","21.2%","21.6%","133,672","154,199","","40.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","740","0.0%","2.6%","0.9%","2.6%","7.3%","10.7%","8.8%","14.9%","21.6%","30.7%","154,861","178,323","","(X)","35.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","522","0.0%","0.0%","0.0%","0.0%","1.3%","3.1%","10.5%","19.2%","26.8%","39.1%","164,900","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","435","2.3%","10.6%","5.1%","12.0%","4.6%","12.0%","11.0%","15.9%","20.5%","6.2%","81,375","104,464","","(X)","(X)","47.6%"
"Census Tract 23.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","773","18.1%","4.9%","5.4%","14.9%","4.4%","10.2%","10.1%","20.4%","6.3%","5.2%","53,750","73,780","","53.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","205","4.4%","2.4%","0.0%","0.0%","0.0%","4.9%","18.5%","48.3%","20.5%","1.0%","114,650","115,276","","(X)","16.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","146","6.2%","0.0%","0.0%","0.0%","0.0%","6.8%","8.9%","58.9%","17.8%","1.4%","114,700","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","568","23.8%","6.7%","6.7%","19.4%","6.0%","12.1%","7.0%","10.4%","1.2%","6.7%","32,456","58,559","","(X)","(X)","67.3%"
"Census Tract 24, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,418","1.6%","2.4%","0.0%","2.3%","8.0%","15.2%","13.8%","26.4%","18.6%","11.7%","102,424","122,600","","35.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","699","3.1%","0.0%","0.0%","2.3%","8.9%","11.2%","7.9%","33.0%","20.6%","13.0%","117,063","125,506","","(X)","35.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","384","2.9%","0.0%","0.0%","0.0%","2.6%","10.9%","2.6%","33.1%","24.2%","23.7%","146,167","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","719","0.0%","4.7%","0.0%","2.4%","8.6%","21.8%","17.8%","22.0%","14.9%","7.8%","89,358","111,789","","(X)","(X)","33.9%"
"Census Tract 25.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,040","13.2%","9.4%","7.1%","6.6%","1.3%","11.8%","6.4%","14.9%","9.7%","19.5%","79,000","119,492","","55.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","673","10.1%","4.5%","0.0%","5.1%","14.4%","12.8%","9.2%","10.1%","11.4%","22.4%","87,721","133,825","","(X)","49.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","338","0.0%","0.0%","0.0%","7.4%","0.9%","15.7%","13.9%","11.8%","5.6%","44.7%","170,357","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","367","18.8%","18.5%","20.2%","9.5%","0.0%","7.4%","2.7%","7.1%","7.1%","8.7%","21,659","63,357","","(X)","(X)","46.6%"
"Census Tract 25.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,493","10.7%","1.6%","6.1%","8.2%","8.7%","14.5%","12.9%","15.4%","8.4%","13.4%","75,101","100,239","","42.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","977","5.3%","0.0%","8.4%","7.0%","4.7%","23.0%","10.0%","14.2%","8.4%","18.9%","75,901","112,797","","(X)","56.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","451","3.8%","0.0%","0.0%","2.7%","0.0%","22.2%","2.4%","14.9%","15.7%","38.4%","160,809","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,516","14.2%","2.7%","6.4%","9.0%","11.3%","8.5%","15.4%","14.8%","8.4%","9.2%","64,306","88,791","","(X)","(X)","32.6%"
"Census Tract 26, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","944","1.8%","0.6%","4.3%","2.9%","4.6%","11.7%","5.7%","11.7%","12.7%","44.1%","184,750","217,070","","25.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","634","1.4%","0.9%","1.1%","0.0%","0.3%","4.1%","4.4%","14.4%","16.6%","56.8%","218,000","265,114","","(X)","30.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","541","0.0%","1.1%","1.3%","0.0%","0.0%","0.4%","4.1%","11.8%","18.3%","63.0%","236,094","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","310","2.6%","0.0%","11.0%","8.7%","13.9%","27.7%","7.7%","9.7%","4.2%","14.5%","68,696","98,137","","(X)","(X)","9.4%"
"Census Tract 27.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,653","6.0%","5.6%","6.9%","0.8%","10.9%","20.9%","12.3%","15.7%","8.4%","12.6%","74,161","102,326","","24.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","950","5.1%","0.0%","13.6%","5.1%","3.9%","12.6%","2.6%","14.4%","14.2%","28.5%","105,833","144,180","","(X)","39.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","711","0.0%","0.0%","10.3%","1.8%","5.2%","15.0%","2.8%","17.6%","16.2%","31.1%","133,375","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,703","6.5%","8.7%","3.2%","0.4%","14.8%","26.2%","16.0%","16.4%","4.4%","3.4%","67,123","74,463","","(X)","(X)","16.0%"
"Census Tract 27.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,420","6.8%","3.9%","6.5%","2.8%","9.5%","11.2%","11.7%","15.4%","9.3%","22.9%","93,553","144,397","","33.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,055","0.0%","0.0%","9.9%","4.8%","6.8%","10.0%","7.2%","15.9%","10.9%","34.5%","137,260","186,071","","(X)","24.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","807","0.0%","0.0%","0.0%","6.3%","6.7%","10.0%","3.2%","17.6%","12.9%","43.2%","175,139","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,365","12.0%","6.9%","4.0%","1.2%","11.6%","12.2%","15.1%","15.8%","8.7%","12.4%","79,712","101,752","","(X)","(X)","37.9%"
"Census Tract 28.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,630","4.4%","4.2%","11.0%","9.6%","13.9%","19.8%","15.2%","9.6%","5.6%","6.6%","56,310","79,355","","34.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","612","1.8%","5.7%","19.6%","9.0%","19.1%","8.8%","14.5%","8.8%","4.2%","8.3%","45,781","78,936","","(X)","52.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","295","3.7%","0.0%","4.4%","10.2%","23.7%","8.8%","20.3%","15.3%","6.8%","6.8%","71,458","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,018","5.9%","3.3%","10.5%","9.9%","12.5%","20.0%","15.6%","12.8%","4.8%","4.6%","58,000","74,711","","(X)","(X)","21.4%"
"Census Tract 28.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,128","17.5%","2.6%","4.1%","12.9%","2.8%","10.5%","16.5%","12.5%","9.4%","11.2%","73,889","91,866","","33.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","786","18.7%","0.0%","5.1%","14.1%","2.5%","11.3%","16.9%","12.0%","10.9%","8.4%","70,909","84,347","","(X)","39.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","411","0.0%","0.0%","0.7%","16.8%","1.0%","5.4%","25.8%","13.4%","20.9%","16.1%","102,841","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,342","16.8%","4.1%","3.5%","13.6%","4.2%","8.8%","14.8%","12.8%","8.5%","12.9%","73,194","95,239","","(X)","(X)","29.2%"
"Census Tract 29, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,551","6.3%","1.0%","5.9%","2.4%","4.6%","17.7%","15.4%","14.6%","9.3%","22.8%","95,052","134,704","","36.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","695","8.1%","0.0%","9.4%","4.3%","2.4%","17.0%","5.2%","14.7%","7.5%","31.5%","114,861","159,315","","(X)","32.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","379","0.0%","0.0%","1.8%","2.9%","4.5%","9.2%","8.4%","9.0%","13.7%","50.4%","200,469","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","856","6.0%","1.9%","2.0%","0.8%","6.3%","21.6%","22.1%","15.1%","9.3%","15.0%","87,422","111,547","","(X)","(X)","36.4%"
"Census Tract 30, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,428","9.3%","8.4%","9.9%","4.9%","3.9%","6.2%","12.7%","15.5%","13.7%","15.5%","93,523","119,301","","33.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","562","18.9%","10.5%","12.6%","5.0%","4.8%","3.9%","2.7%","19.0%","10.0%","12.6%","-","104,991","","(X)","40.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","254","0.0%","0.0%","5.5%","7.1%","6.3%","4.7%","0.0%","37.8%","22.0%","16.5%","139,167","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","866","3.1%","7.0%","8.2%","4.8%","3.2%","7.6%","19.3%","15.2%","15.9%","15.5%","96,750","125,361","","(X)","(X)","27.4%"
"Census Tract 31, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,306","3.8%","1.8%","3.4%","5.4%","3.0%","11.5%","17.6%","23.3%","14.4%","15.8%","109,000","129,707","","37.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","546","7.5%","1.1%","5.3%","1.1%","2.6%","10.8%","17.2%","13.4%","15.6%","25.5%","114,688","154,746","","(X)","46.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","287","0.0%","2.1%","0.0%","2.1%","0.0%","7.3%","15.3%","10.8%","16.4%","46.0%","178,083","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","760","1.1%","2.2%","2.9%","8.6%","4.3%","12.0%","16.1%","30.4%","13.6%","8.9%","107,833","110,698","","(X)","(X)","31.1%"
"Census Tract 32, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,655","7.0%","4.2%","3.9%","2.3%","9.7%","10.6%","10.8%","25.1%","5.9%","20.6%","101,012","127,408","","34.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","887","9.4%","4.5%","4.7%","1.0%","9.6%","8.3%","12.9%","18.7%","8.5%","22.4%","92,120","127,587","","(X)","36.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","552","0.0%","0.0%","7.6%","1.6%","6.0%","10.0%","10.3%","18.1%","10.3%","36.1%","135,833","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","768","4.3%","3.8%","2.9%","3.8%","9.8%","15.8%","14.6%","24.6%","3.5%","17.1%","94,250","121,879","","(X)","(X)","32.2%"
"Census Tract 33.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,582","5.5%","1.0%","1.8%","3.6%","5.1%","11.9%","10.6%","17.1%","13.9%","29.4%","123,868","155,489","","35.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","674","2.4%","0.0%","0.7%","0.7%","3.4%","7.3%","15.1%","17.7%","14.4%","38.3%","160,313","175,785","","(X)","38.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","464","3.4%","0.0%","1.1%","0.0%","5.0%","1.7%","9.1%","9.7%","20.9%","49.1%","196,250","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","908","7.8%","1.8%","2.6%","5.7%","6.4%","15.4%","11.5%","14.2%","13.1%","21.5%","97,250","126,357","","(X)","(X)","31.8%"
"Census Tract 33.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","911","2.3%","2.2%","2.4%","2.0%","4.0%","6.6%","15.6%","22.1%","16.2%","26.7%","127,336","156,113","","27.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","403","0.0%","3.0%","2.0%","0.0%","4.7%","3.0%","8.9%","23.3%","20.3%","34.7%","163,795","188,979","","(X)","21.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","258","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","8.5%","19.8%","24.8%","46.9%","191,630","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","508","4.1%","1.6%","2.8%","3.5%","4.5%","10.2%","20.9%","21.5%","13.0%","17.9%","106,591","124,130","","(X)","(X)","30.9%"
"Census Tract 34, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,007","13.0%","5.0%","7.3%","7.8%","5.1%","4.3%","13.2%","17.9%","8.3%","18.1%","91,761","116,663","","45.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","442","3.8%","5.4%","12.7%","11.3%","2.5%","9.3%","14.5%","13.8%","4.3%","22.4%","83,409","118,831","","(X)","46.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","260","2.7%","0.0%","10.8%","0.0%","0.0%","4.2%","13.5%","23.5%","7.3%","38.1%","136,000","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","565","20.2%","4.6%","8.1%","1.2%","7.1%","5.7%","8.8%","19.1%","10.4%","14.7%","90,524","109,715","","(X)","(X)","44.1%"
"Census Tract 35, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,184","9.2%","6.3%","10.3%","6.2%","6.9%","5.8%","11.9%","18.4%","12.3%","12.7%","91,638","106,213","","32.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","383","8.4%","4.2%","0.0%","4.4%","14.1%","5.5%","13.1%","21.7%","19.6%","9.1%","113,438","113,891","","(X)","37.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","245","0.0%","0.0%","0.0%","4.5%","17.6%","2.9%","7.8%","25.3%","28.2%","13.9%","143,050","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","801","12.0%","7.2%","12.9%","7.0%","3.5%","6.0%","11.9%","16.9%","9.0%","13.7%","83,698","100,991","","(X)","(X)","28.6%"
"Census Tract 36, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,064","13.0%","3.6%","2.5%","4.3%","4.8%","12.5%","8.8%","18.4%","13.4%","18.6%","100,417","124,390","","29.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","616","13.5%","6.7%","0.0%","3.1%","5.2%","4.1%","15.9%","16.7%","9.9%","25.0%","111,923","140,077","","(X)","20.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","395","0.0%","0.0%","0.0%","0.0%","8.1%","6.3%","11.4%","26.1%","9.1%","39.0%","139,148","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,448","12.8%","2.3%","3.6%","4.8%","4.6%","16.1%","5.8%","19.1%","14.9%","15.9%","99,792","117,185","","(X)","(X)","32.5%"
"Census Tract 37, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,657","15.1%","0.9%","6.7%","4.3%","15.4%","7.6%","6.5%","18.1%","18.0%","7.3%","74,980","92,651","","28.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,035","21.4%","1.2%","18.6%","4.7%","17.0%","3.4%","4.6%","5.4%","12.9%","10.6%","35,692","81,245","","(X)","12.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","385","0.0%","3.1%","0.0%","3.6%","0.0%","6.5%","8.8%","14.5%","34.8%","28.6%","160,917","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,622","11.1%","0.8%","5.2%","3.9%","8.2%","10.3%","7.7%","26.3%","21.2%","5.2%","108,010","98,562","","(X)","(X)","37.8%"
"Census Tract 38, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,811","5.1%","1.4%","1.7%","10.1%","6.8%","9.7%","12.5%","25.9%","9.5%","17.3%","101,627","140,025","","19.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","710","2.7%","5.5%","0.0%","2.0%","2.3%","10.6%","5.9%","7.9%","18.9%","44.4%","175,714","237,623","","(X)","13.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","591","0.0%","0.0%","0.0%","2.4%","2.7%","9.5%","0.0%","9.5%","22.7%","53.3%","207,438","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","2,101","5.9%","0.0%","2.2%","12.9%","8.3%","9.5%","14.8%","32.2%","6.3%","7.9%","90,446","106,787","","(X)","(X)","21.6%"
"Census Tract 39, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
